Gene_ID,B16_antiXBH25_08,B16_antiXBH25_17,B16_antiXBH25_19,B16_ctrl_10,B16_ctrl_11,B16_ctrl_22,CT26_antiXBH25_03,CT26_antiXBH25_21,CT26_antiXBH25_46,CT26_ctrl_04,CT26_ctrl_12,CT26_ctrl_27,CT26_ctrl_34,CT26_ctrl_39,CT26_ctrl_41,LLC_antiXBH25_35,LLC_antiXBH25_43,LLC_antiXBH25_54,LLC_ctrl_29,LLC_ctrl_39,LLC_ctrl_42,EMT6_antiXBH25_4,EMT6_antiXBH25_5,EMT6_antiXBH25_6,EMT6_isotype-ctrl_1,EMT6_isotype-ctrl_3,EMT6_isotype-ctrl_7
Gm27325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mt-Tv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smpx,5.21,11.73,0.4,0.18,0.0,0.0,0.61,0.22,1.19,0.23,0.11,0.61,0.0,0.76,0.0,0.0,0.0,0.0,5.08,0.4,1.67,22.49,1.93,0.98,2.93,5.14,9.0
Akt1s1,125.1,111.28,128.22,90.68,102.97,108.3,54.01,57.23,52.58,59.75,63.61,55.18,40.21,60.34,67.79,30.18,36.95,42.5,43.21,47.15,41.6,48.33,48.67,46.08,47.06,42.02,47.98
Csf3,0.15,0.0,0.06,0.0,0.14,0.0,0.0,0.62,0.0,0.48,0.08,0.09,0.0,0.0,0.0,0.29,0.0,0.08,0.0,0.08,0.0,8.84,5.47,4.96,2.32,4.71,9.68
Ddx43,0.04,0.0,0.0,0.0,0.0,0.0,0.21,0.41,0.11,0.14,0.05,0.16,0.13,0.08,0.05,0.04,0.3,0.23,0.04,0.09,0.18,0.24,0.39,0.12,0.0,0.06,0.06
Strc,0.0,0.11,0.07,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.94,1.73,0.41,0.3,0.27,0.0,0.0,0.0,0.0,0.0,0.0
Gm44455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krt8-ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.42,0.0,0.0,0.0,0.0,0.0,2.47,3.35,2.88,2.05,2.77,1.45,1.4,1.75,2.21,2.28,1.75,0.74
Dcpp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dcaf13,63.89,44.55,42.26,30.59,39.77,48.58,49.58,52.91,68.19,50.08,46.62,57.94,51.85,46.1,57.13,49.06,54.53,49.29,39.76,53.95,51.29,69.73,76.43,81.5,88.93,95.21,62.4
Gm26159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uqcrb,437.18,343.51,341.61,318.45,542.14,400.77,426.75,419.54,477.8,494.79,518.82,543.61,569.34,547.35,427.79,331.58,386.13,390.8,382.61,370.67,392.03,389.17,442.91,412.7,420.81,459.69,391.0
Mbnl2,110.27,59.56,39.98,83.57,83.47,75.32,119.12,107.34,129.03,100.61,91.6,100.24,109.16,93.38,103.19,71.56,79.24,65.3,77.81,61.99,66.73,89.14,87.96,94.92,112.65,114.38,99.93
Rpl10a,1380.67,1132.11,1411.77,1116.31,1990.29,1211.7,1947.25,1894.19,2244.23,2604.15,2515.52,2288.65,2151.29,2307.56,2326.64,1557.96,1671.76,1709.79,1835.81,2153.05,1914.29,2017.13,1879.04,2076.11,2232.76,1971.0,1638.48
Tex38,0.95,0.25,0.0,0.42,0.58,0.76,0.15,0.17,0.0,0.0,0.17,0.55,0.0,0.0,0.0,0.61,0.36,0.65,0.6,0.49,0.33,0.0,0.0,0.21,0.0,0.0,0.0
Dhrs11,12.62,14.33,12.01,11.23,18.69,13.11,5.72,6.88,8.93,6.55,5.97,5.15,5.39,6.06,8.53,8.1,6.83,7.48,6.75,9.53,8.57,8.35,5.69,5.73,6.21,6.55,6.81
Fn3k,0.2,0.92,0.43,0.14,0.8,0.03,0.11,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.1,0.03,0.0,0.1,0.11,0.02,0.45,0.0,0.07,0.0,0.08,0.03
