"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"19","hsa03440 Homologous recombination",0.416234887737478,0.812960645251008,0.0810802057550866,-0.393461825073714,-1.01918194267351,41,"c(""RBBP8"", ""ABRAXAS1"", ""BRCA2"", ""BRCC3"", ""XRCC2"", ""RPA4"", ""BLM"", ""BRCA1"", ""SSBP1"", ""RAD51C"", ""TOPBP1"", ""MRE11"", ""BRIP1"", ""NBN"", ""PALB2"", ""RPA1"", ""SEM1"", ""BARD1"", ""EME1"", ""RAD54B"", ""UIMC1"")"
"20","hsa03450 Non-homologous end-joining",0.375,0.75,0.0911073131586733,-0.499382836781427,-1.07574419821387,12,"c(""LIG4"", ""XRCC6"", ""XRCC4"", ""XRCC5"", ""MRE11"", ""DCLRE1C"", ""PRKDC"")"
"21","hsa03460 Fanconi anemia pathway",0.870151770657673,1,0.0442407423477375,-0.258033108521644,-0.705970650576174,53,"c(""CENPS"", ""USP1"", ""BRCA2"", ""RPA4"", ""BLM"", ""RMI1"", ""BRCA1"", ""REV3L"", ""UBE2T"", ""RAD51C"", ""WDR48"", ""FANCI"", ""FANCF"", ""POLK"", ""BRIP1"", ""POLI"", ""REV1"", ""PALB2"", ""FANCM"", ""POLN"", ""FANCB"", ""RPA1"")"
"22","hsa04010 MAPK signaling pathway",0.0410740718414492,0.324485167547448,0.321775918075361,0.35580156142718,1.31627461280737,287,"c(""FGF9"", ""PRKCG"", ""NTF4"", ""FGF3"", ""CACNG7"", ""CACNG1"", ""CACNA1S"", ""NTRK1"", ""PTPRR"", ""DUSP9"", ""BDNF"", ""CACNA1H"", ""CACNA1E"", ""MET"", ""EFNA2"", ""CACNA1I"", ""RET"", ""CACNA1B"", ""EFNA3"", ""PLA2G4C"", ""CACNG5"", ""CACNA2D2"", ""PLA2G4F"", ""FLT3"", ""TNF"", ""CACNA1G"", ""RELB"", ""TGFB3"", ""FGF17"", ""NFKB2"", ""DUSP2"", ""MAP2K3"", ""FGF20"", ""DUSP5"", ""PLA2G4D"", ""MAPK8IP2"", ""NR4A1"", ""MAPT"", ""CACNA1A"", ""RPS6KA4"", ""CACNA2D4"", ""NFATC1"", ""RASGRP2"", ""CSF1R"", ""CACNG6"")"
"23","hsa04012 ErbB signaling pathway",0.9923273657289,1,0.0573667426768556,0.189726917050654,0.610654026631671,84,"c(""PRKCG"", ""SHC2"", ""NRG2"", ""STAT5A"", ""PAK4"", ""CAMK2A"", ""SRC"", ""CAMK2B"", ""EGF"", ""PIK3CD"", ""GRB2"", ""ABL1"", ""PRKCB"", ""RPS6KB2"", ""HBEGF"", ""PIK3R2"", ""MAPK3"", ""PLCG2"", ""MAP2K7"", ""PIK3R3"", ""MAP2K2"", ""PAK6"", ""PAK5"", ""PAK1"", ""AKT2"", ""ARAF"", ""ELK1"", ""STAT5B"", ""BAD"", ""SOS1"", ""SHC3"")"
"24","hsa04014 Ras signaling pathway",0.304487179487179,0.711415904682738,0.141225119642531,0.291994417662553,1.05989012566102,216,"c(""FGF9"", ""PRKCG"", ""NTF4"", ""FGF3"", ""CALML6"", ""NTRK1"", ""KSR2"", ""BDNF"", ""PLA1A"", ""MET"", ""EFNA2"", ""GRIN2B"", ""EFNA3"", ""PLA2G4C"", ""GRIN1"", ""PLA2G4F"", ""GNG7"", ""FLT3"", ""SHC2"", ""FGF17"", ""PLA2G2D"", ""FGF20"", ""PLA2G4D"", ""RASA4"")"
"25","hsa04015 Rap1 signaling pathway",0.482539682539683,0.812960645251008,0.107972360317345,0.271264069534289,0.968840971811618,199,"c(""FGF9"", ""PRKCG"", ""FGF3"", ""CALML6"", ""ITGA2B"", ""FPR1"", ""MET"", ""EFNA2"", ""GRIN2B"", ""EFNA3"", ""GRIN1"", ""FGF17"", ""MAP2K3"", ""THBS1"", ""FGF20"", ""ADCY2"", ""CDH1"", ""RASGRP2"", ""CSF1R"", ""RRAS"", ""ITGB2"", ""SRC"", ""RAPGEF4"", ""RAP1GAP"", ""RAPGEF3"", ""FLT1"", ""ADORA2A"", ""RALGDS"", ""EGF"", ""EPHA2"", ""VASP"", ""PDGFB"", ""PIK3CD"", ""PLCB4"", ""CSF1"", ""LPAR2"", ""PLCB3"", ""RAPGEF1"", ""RASGRP3"", ""PRKCB"", ""RAC3"", ""MRAS"", ""FGF1"", ""DRD2"", ""SIPA1L3"", ""PIK3R2"", ""ADCY9"", ""PRKCZ"", ""PDGFA"", ""MAPK12"", ""MAPK3"", ""VAV1"", ""PLCB2"", ""SIPA1"", ""GNAI2"", 
""MAPK13"", ""PIK3R3"", ""FGF22"", ""MAP2K2"", ""CDC42"")"
"26","hsa04020 Calcium signaling pathway",0.00250178325369202,0.0359347049166672,0.431707695803346,0.434566506175105,1.5788976353122,232,"c(""FGF9"", ""PRKCG"", ""SLN"", ""BDKRB1"", ""FGF3"", ""SMIM6"", ""GRIN3B"", ""CALML6"", ""TNNC2"", ""CACNA1S"", ""SLC8A2"", ""NTRK1"", ""LOC102723407"", ""TNNC1"", ""ATP2A1"", ""CACNA1H"", ""TRDN"", ""CHRM1"", ""CHRFAM7A"", ""CACNA1E"", ""NOS1"", ""P2RX6"", ""ADRA1D"", ""MET"", ""CACNA1I"", ""RET"", ""GRIN2B"", ""CACNA1B"", ""BDKRB2"", ""GRIN1"", ""CASQ1"", ""SPHK1"", ""PTGER1"", ""MST1R"", ""CHRNA7"", ""CACNA1G"", ""HRH2"", ""GRM5"", ""FGF17"", ""TFEB"", ""PTAFR"", ""GRIN2C"", ""GRIN3A"", ""FGF20"", ""CD38"", ""GNA15"", ""P2RX2"", ""CACNA1A"", ""P2RX1"", ""LTB4R2"", ""ADCY2"", ""RYR1"", ""NFATC1"", 
""HTR6"", ""P2RX5"", ""GRM1"", ""AVPR1A"", ""PLCD3"", ""MYLK2"")"
"27","hsa04022 cGMP-PKG signaling pathway",0.88135593220339,1,0.0395172228473919,-0.24374661281634,-0.760688934366178,157,"c(""KNG1"", ""CREB3L3"", ""AGTR1"", ""ATP2B2"", ""KCNMB2"", ""SLC8A3"", ""ADRA1A"", ""CNGA1"", ""CACNA1C"", ""FXYD2"", ""MYLK"", ""GUCY1A2"", ""ROCK1"", ""PRKG1"", ""PDE2A"", ""GATA4"", ""GNAI1"", ""ATP1A4"")"
"28","hsa04024 cAMP signaling pathway",0.349206349206349,0.729880024520536,0.130105630751129,0.29436226690748,1.04850661678494,197,"c(""GRIN3B"", ""CALML6"", ""PPP1R1B"", ""CACNA1S"", ""ATP1B4"", ""HTR1D"", ""ADCYAP1R1"", ""ATP2A1"", ""CNGB1"", ""EDN3"", ""BDNF"", ""HTR1B"", ""LHB"", ""CHRM1"", ""FFAR2"", ""POMC"", ""HCN2"", ""GRIN2B"", ""CRHR2"", ""HCAR3"", ""GLP1R"", ""GRIN1"", ""HCAR2"", ""SSTR2"", ""ADORA1"", ""GRIN2C"", ""GRIN3A"", ""GABBR2"")"
"29","hsa04060 Cytokine-cytokine receptor interaction",0.0168041889683054,0.177004123799483,0.352487857583619,0.37053156035922,1.35818201896367,244,"c(""PF4V1"", ""IL19"", ""CXCR1"", ""IL13"", ""CCL25"", ""PPBP"", ""IFNA5"", ""CXCL5"", ""CCL20"", ""IL6"", ""CXCR2"", ""TNFRSF8"", ""TNFSF9"", ""TNFRSF13B"", ""IL31RA"", ""TNFRSF9"", ""IL3RA"", ""OSM"", ""TNFRSF18"", ""CXCL13"", ""GDF5"", ""CXCR5"", ""CCL23"", ""CCL24"", ""CCL4L2"", ""CD70"", ""LTB"", ""CSF3R"", ""TNFRSF11B"", ""TNFRSF4"", ""INHA"", ""TNFRSF10C"", ""BMP8A"", ""TNFRSF13C"", ""CCR10"", ""TNF"", ""IL1RL2"", ""IL18RAP"", ""CCL3"", ""CCL26"", ""XCL1"", ""CCR3"", ""TGFB3"", ""IL1R2"", ""CXCL10"", ""CCL22"", ""IFNLR1"", ""CXCL11"", ""CXCL1"", ""CCL13"", ""CSF2RB"", ""IL7R"", ""IL13RA2"", ""TNFSF15"", 
""LTA"", ""IL17RC"", ""CCR7"", ""CCL8"", ""TNFRSF12A"", ""CCR2"", ""TNFRSF17"", ""IL2RA"", ""CCR4"", ""CX3CR1"", ""CD40"", ""CSF1R"", ""CXCL8"", ""CXCL16"", ""CCR6"", ""TNFRSF1B"", ""CD4"", ""CXCL9"", ""TNFSF18"", ""CCL3L1"", ""IL27"", ""CCL4"", ""TNFRSF14"", ""IL12RB1"", ""PRL"", ""IL17RE"", ""EPOR"", ""IFNG"", ""IL1RL1"", ""IL6R"", ""IFNAR2"", ""EBI3"", ""CCL19"", ""IL10RA"", ""RELT"")"
"30","hsa04061 Viral protein interaction with cytokine and cytokine receptor",0.00172615097473418,0.0272731854008,0.45505986738723,0.549238230377353,1.81690712804533,92,"c(""PF4V1"", ""IL19"", ""CXCR1"", ""CCL25"", ""PPBP"", ""CXCL5"", ""CCL20"", ""IL6"", ""CXCR2"", ""CXCL13"", ""CXCR5"", ""CCL23"", ""CCL24"", ""CCL4L2"", ""TNFRSF10C"", ""CCR10"", ""TNF"", ""IL18RAP"", ""CCL3"", ""CCL26"", ""XCL1"", ""CCR3"", ""CXCL10"", ""CCL22"", ""CXCL11"", ""CXCL1"", ""CCL13"", ""LTA"", ""CCR7"", ""CCL8"", ""CCR2"", ""IL2RA"", ""CCR4"", ""CX3CR1"", ""CSF1R"", ""CXCL8"", ""CCR6"", ""TNFRSF1B"", ""CXCL9"", ""CCL3L1"", ""CCL4"", ""TNFRSF14"")"
